cod_ibge,E,X,M,IRBI,PH_x,PH_y,Ph_x,Ph_y,R_x,R_y,Angulo,Odu,Theta,S_m,S_potencial,S_dispersiva,Regime
1101476,0.00011624065961687583,0.5,0.0,0.17504649626384675,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1101484,0.0001441043771879003,0.5,0.0,0.17505764175087515,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1101492,0.0005845777711460596,0.5,0.0,0.17523383110845842,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1101500,0.00038073295764376106,0.5,0.0,0.1751522931830575,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1101559,0.00012695186295677113,0.5,0.0,0.1750507807451827,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1101609,0.00027861286089808353,0.5,0.0,0.17511144514435922,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1101708,0.0003135025020179576,0.5,0.0,0.17512540100080717,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1101757,0.00022617743988951602,0.5,0.0,0.1750904709759558,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1101807,0.00018824739008374195,0.5,0.0,0.1750752989560335,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200013,0.00044909563778368095,0.5,0.0,0.17517963825511346,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200054,0.00015212932236685265,0.5,0.0,0.17506085172894673,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200104,0.0008454947346194977,0.5,0.0,0.17533819789384777,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200138,0.00034224049566104026,0.5,0.0,0.1751368961982644,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200179,0.0007364153157669775,0.5,0.0,0.17529456612630678,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200203,0.002423084148601497,0.5,0.0,0.1759692336594406,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200252,0.0007990587292202774,0.5,0.0,0.1753196234916881,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200302,0.0006542016500211251,0.5,0.0,0.17526168066000844,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200328,0.0001221163868339246,0.5,0.0,0.17504884655473357,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200336,0.000283666113164635,0.5,0.0,0.17511346644526585,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200344,0.00022207246529725258,0.5,0.0,0.17508882898611888,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200351,0.0002489234180834745,0.5,0.0,0.17509956936723337,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
